"id","name","price","original_price","rating","filtration_capacity"
811,"ALAUKIK Rapid Zinc Copper Alkaline (Made in India) with Hydrogen RO 12 L RO + UV + UF + TDS Control + ...","8,999","19,999","4.5","Filtration Capacity: 15 L/hr"
812,"Keel RED SWIFT 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500",NULL,"Filtration Capacity: 10 L/hr"
813,"trypkon PLUTO 2 COPPER 12 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","6,299","17,999","5","Filtration Capacity: 20 L/hr"
814,"Keel Mineral Ro TPT Swift 15 ltr + Water Filter 15 L RO + UV + UF + TDS Water Purifier","3,999","16,500",NULL,"Filtration Capacity: 20 L/hr"
815,"AQUA SKYLAND Model With UF Membrane filter RO + UF MEMBRANE FILTER+TDS 18 L RO + UF + TDS Water Purifi...","3,995","14,500","4","Filtration Capacity: 18 L/hr"
816,"KENT Ace Star (11081) 8 L RO + UV + UF + TDS Water Purifier","20,500",NULL,"4.4","Filtration Capacity: 20 L/hrs"
817,"Always Aqua Pio 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,689","19,000","4.2","1 Year Offsite Warranty: Customer have to call the customer support & register their RO once it is delivered. (A)- 1 Year Warranty on all electricla parts"
818,"AquaDpure Bio Zinc with Copper Alkaline RO Water Purifier 12 L RO + UV + UF + TDS + ALK + Copper Water...","4,875","24,999","3.9","Filtration Capacity: 12 L/hr"
819,"Aqua Fresh Opel 18 L RO + UV + UF + TDS Water Purifier","3,798","15,500","4","Repair:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable"
820,"aquadeal pure 15 L RO + UV + UF + TDS Water Purifier","4,599","15,990","4","Filtration Capacity: 15 L/hr"
821,"fedula AQUA Pearl RO UV UF TDS Minerl 12 Ltrs storeg tank 12 L RO + UV + UF + TDS Water Purifier","5,849","18,051","4.2","Filtration Capacity: 15 L/hr"
822,"E.F.M Golden Star 10 L RO + UV + UF + TDS Water Purifier","4,099","9,000","4.1","Filtration Capacity: 12 L/hr"
823,"Always Swift 15L 15 L RO + UV + UF + TDS + Alkaline Water Purifier (Blue-White) 15 L Mineral RO + UV +...","3,399","13,500","4.3","2 years warranty on electrical parts (booster pump"
824,"Aquaguard Enhance NXT 0.5 L UV Water Purifier Suitable only for Municipality Water Supply","13,999","17,500","3.6","1 Year Warranty from the Date of Purchase"
825,"Aqua Fresh Omega Copper Audy 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,910","16,500","4","Filtration Capacity: 10 L/hr"
826,"Always Gravity based Water mineral Filter And Purifier + 3 extra Dust Candles 15 L Gravity Based Water...","1,799","2,500","4.1","Filtration Capacity: 20 L/hr"
827,"Aqua Fresh Wave x COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,649","13,999","3.7","1 YEAR OFFSITE WARRANTY ON ALL ELECTRONIC PARTS"
828,"Always Royal Plus Zinc Copper with Alkaline 15 L RO + UV + Copper Water Purifier","3,499","11,000","4",NULL
829,"KENT ELEGANT 8 L RO + UV + UF + TDS Water Purifier","16,390","20,500","4.4","Filtration Capacity: 15 L/hr"
830,"AquaActive ROUVCUZN 10 L Mineral RO + UV + MF + MP Water Purifier","8,203","27,390","4.1","Filtration Capacity: 14 L/hr"
831,"aquadeal Aquagrand 15 L RO + UF + UV + UV_LED + TDS Control Water Purifier","5,105","15,990","4","Filtration Capacity: 15 L/hr"
